threshold,accuracy,balanced_accuracy,FPR,FNR,f1
0.48,0.9866971523591769,0.9648123334863774,0.058394160583941604,0.01198117244330338,0.9931182795698925
0.49,0.9858657243816255,0.9679270947530836,0.051094890510948905,0.01305091998288404,0.9926834516892619
0.5,0.9860735813760133,0.9715767297895799,0.043795620437956206,0.01305091998288404,0.9927902722479286
0.51,0.9854500103928497,0.9712558055277056,0.043795620437956206,0.013692768506632435,0.9924650161463939
0.52,0.9848264394096862,0.9744775415483697,0.0364963503649635,0.014548566538296961,0.9921378567582122
0.53,0.9842028684265226,0.9741566172864956,0.0364963503649635,0.015190415062045357,0.9918121094591683
0.54,0.9829557264601954,0.9735147687627472,0.0364963503649635,0.01647411210954215,0.9911599827511858
0.55,0.9823321554770318,0.9767365047834113,0.029197080291970802,0.017329910141206675,0.9908316254988674
0.56,0.9821242984826439,0.9766295300294532,0.029197080291970802,0.017543859649122806,0.990722761596548
0.57,0.9815007274994804,0.9763086057675789,0.029197080291970802,0.018185708172871202,0.9903960289198229
0.58,0.9802535855331532,0.9756667572438307,0.029197080291970802,0.019469405220367993,0.9897419285174387
0.59,0.9796300145499897,0.9753458329819564,0.029197080291970802,0.02011125374411639,0.9894145603802117
0.6,0.9781750155892746,0.9781396699867883,0.021897810218978103,0.021822849807445442,0.9886474213428479
0.61,0.9769278736229474,0.9810404817455781,0.014598540145985401,0.023320496362858364,0.9879883129531436
0.62,0.976096445645396,0.9806125827297458,0.014598540145985401,0.02417629439452289,0.9875500703691675
0.63,0.9738100187071295,0.9794358604362071,0.014598540145985401,0.026529738981600343,0.9863429438543247
0.64,0.9721471627520266,0.9785800624045426,0.014598540145985401,0.028241335044929396,0.9854632241267086
0.65,0.971523591768863,0.9782591381426684,0.014598540145985401,0.028883183568677792,0.9851329354313619
0.66,0.9692371648305965,0.9770824158491297,0.014598540145985401,0.03123662815575524,0.9839200347674923
0.67,0.9684057368530451,0.9766545168332974,0.014598540145985401,0.03209242618741977,0.9834782608695651
0.68,0.9663271669091665,0.9755847692937167,0.014598540145985401,0.03423192126658109,0.9823721436343852
0.69,0.9652878819372271,0.9750498955239264,0.014598540145985401,0.03530166880616174,0.9818181818181818
0.7,0.9627935980045729,0.9737661984764296,0.014598540145985401,0.037869062901155326,0.9804862095279625
0.71,0.9594678860943671,0.9720546024131006,0.014598540145985401,0.04129225502781344,0.9787048159877688
0.72,0.9586364581168156,0.9716267033972683,0.014598540145985401,0.04214805305947796,0.9782584944826833
0.73,0.9557264601953855,0.9701290568418555,0.014598540145985401,0.04514334617030381,0.9766932924827662
0.74,0.9524007482851798,0.9684174607785263,0.014598540145985401,0.04856653829696192,0.9748986079140634
0.75,0.9486593223861983,0.9664919152072812,0.014598540145985401,0.05241762943945229,0.9728720483250961
0.76,0.9459571814591561,0.9686439036883645,0.0072992700729927005,0.05541292255027813,0.9713971397139715
0.77,0.9428393265433381,0.9670392823789936,0.0072992700729927005,0.058622165169020114,0.9696969696969697
0.78,0.9384743296611932,0.9647928125458742,0.0072992700729927005,0.06311510483525888,0.9673072675060747
0.79,0.9363957597173145,0.9637230650062936,0.0072992700729927005,0.0652545999144202,0.9661654135338347
0.8,0.9324464768239451,0.9616905446810904,0.0072992700729927005,0.0693196405648267,0.96398891966759
0.81,0.9268343379754729,0.9588022263242225,0.0072992700729927005,0.07509627727856226,0.960880195599022
0.82,0.9233007690708792,0.9569836555069354,0.0072992700729927005,0.0787334189131365,0.9589132613294734
0.83,0.9160257742673041,0.9532395391184031,0.0072992700729927005,0.08622165169020111,0.9548401520232506
0.84,0.9104136354188318,0.9503512207615353,0.0072992700729927005,0.09199828840393667,0.9516761968830586
0.85,0.9016836416545416,0.9458582810952966,0.0072992700729927005,0.10098416773641421,0.9467162329615861
0.86,0.8927457908958637,0.9412583666750998,0.0072992700729927005,0.11018399657680787,0.9415893140140367
0.87,0.8863022240698399,0.941484809584938,0.0,0.11703038083012408,0.9378479718213839
0.88,0.8790272292662649,0.9377406931964056,0.0,0.1245186136071887,0.9336071184120465
0.89,0.8725836624402411,0.9344244758237056,0.0,0.13115104835258878,0.9298225529479107
0.9,0.8619829557264602,0.9289687633718442,0.0,0.14206247325631152,0.9235375403040075
0.91,0.8559551028892122,0.9258664955070603,0.0,0.14826700898587933,0.9199306759098786
0.92,0.8484722510912492,0.92201540436457,0.0,0.15596919127086006,0.9154194222067525
0.93,0.8347536894616504,0.9149550706033376,0.0,0.17008985879332478,0.9070501578393547
0.94,0.8239451257534816,0.9093923833975182,0.0,0.18121523320496363,0.9003646629808258
0.95,0.8091872791519434,0.9017971758664955,0.0,0.196405648267009,0.891103202846975
0.96,0.7867387237580544,0.8902439024390244,0.0,0.21951219512195122,0.8767123287671234
0.97,0.7466223238411973,0.8695977749251177,0.0,0.26080445014976467,0.8500430557264116
0.98,0.6730409478278944,0.8317287120239624,0.0,0.3365425759520753,0.7976848874598071
0.99,0.510496778216587,0.7480744544287548,0.0,0.5038510911424904,0.6632346632346633
1.0,0.02847640823113698,0.5,0.0,1.0,0.0
